,buy,hold,period,sell,strongBuy,strongSell,symbol
0,4,1,2025-02-01,0,2,0,GIFI
0,4,1,2025-01-01,0,2,0,GIFI
0,4,1,2024-12-01,0,2,0,GIFI
0,4,1,2024-11-01,0,2,0,GIFI
0,6,3,2025-02-01,0,2,0,ENS
0,5,5,2025-01-01,0,1,0,ENS
0,5,5,2024-12-01,0,1,0,ENS
0,5,5,2024-11-01,0,1,0,ENS
0,5,1,2025-02-01,0,2,0,POET
0,5,1,2025-01-01,0,2,0,POET
0,5,1,2024-12-01,0,2,0,POET
0,4,1,2024-11-01,0,2,0,POET
0,10,8,2025-02-01,3,7,0,STMPA.PA
0,10,9,2025-01-01,2,7,0,STMPA.PA
0,12,7,2024-12-01,2,7,0,STMPA.PA
0,13,6,2024-11-01,1,7,0,STMPA.PA
0,5,1,2025-02-01,0,2,0,CMCL
0,5,1,2025-01-01,0,2,0,CMCL
0,4,1,2024-12-01,0,2,0,CMCL
0,4,1,2024-11-01,0,2,0,CMCL
0,8,8,2025-02-01,0,3,0,KNTK
0,8,8,2025-01-01,0,3,0,KNTK
0,8,8,2024-12-01,0,3,0,KNTK
0,8,8,2024-11-01,0,3,0,KNTK
0,10,8,2025-02-01,0,6,0,DTE
0,9,10,2025-01-01,0,5,0,DTE
0,9,10,2024-12-01,0,5,0,DTE
0,9,10,2024-11-01,0,5,0,DTE
0,17,5,2025-02-01,0,9,0,GRAB
0,17,4,2025-01-01,1,9,0,GRAB
0,19,3,2024-12-01,1,9,0,GRAB
0,21,2,2024-11-01,0,8,0,GRAB
0,5,8,2025-02-01,0,5,0,PNFP
0,5,8,2025-01-01,0,5,0,PNFP
0,5,8,2024-12-01,0,5,0,PNFP
0,7,7,2024-11-01,0,5,0,PNFP
0,7,3,2025-02-01,0,2,0,ATRA
0,8,3,2025-01-01,0,2,0,ATRA
0,7,3,2024-12-01,1,2,0,ATRA
0,7,3,2024-11-01,1,2,0,ATRA
0,3,1,2025-02-01,0,3,0,VIRC
0,3,1,2025-01-01,0,3,0,VIRC
0,3,1,2024-12-01,0,3,0,VIRC
0,3,1,2024-11-01,0,3,0,VIRC
0,6,3,2025-02-01,0,2,0,INVZ
0,6,3,2025-01-01,0,2,0,INVZ
0,4,4,2024-12-01,0,2,0,INVZ
0,6,3,2024-11-01,0,2,0,INVZ
